city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,7
sj,2008,20,8
sj,2008,21,9
sj,2008,22,10
sj,2008,23,10
sj,2008,24,10
sj,2008,25,13
sj,2008,26,12
sj,2008,27,14
sj,2008,28,11
sj,2008,29,16
sj,2008,30,17
sj,2008,31,16
sj,2008,32,26
sj,2008,33,33
sj,2008,34,32
sj,2008,35,38
sj,2008,36,175
sj,2008,37,50
sj,2008,38,42
sj,2008,39,40
sj,2008,40,45
sj,2008,41,39
sj,2008,42,45
sj,2008,43,38
sj,2008,44,40
sj,2008,45,29
sj,2008,46,36
sj,2008,47,39
sj,2008,48,35
sj,2008,49,32
sj,2008,50,33
sj,2008,51,31
sj,2008,52,25
sj,2009,1,26
sj,2009,2,21
sj,2009,3,23
sj,2009,4,22
sj,2009,5,22
sj,2009,6,15
sj,2009,7,18
sj,2009,8,17
sj,2009,9,17
sj,2009,10,11
sj,2009,11,10
sj,2009,12,9
sj,2009,13,8
sj,2009,14,12
sj,2009,15,8
sj,2009,16,7
sj,2009,17,8
sj,2009,18,10
sj,2009,19,10
sj,2009,20,9
sj,2009,21,9
sj,2009,22,10
sj,2009,23,13
sj,2009,24,15
sj,2009,25,11
sj,2009,26,11
sj,2009,27,11
sj,2009,28,15
sj,2009,29,16
sj,2009,30,17
sj,2009,31,19
sj,2009,32,18
sj,2009,33,30
sj,2009,34,30
sj,2009,35,38
sj,2009,36,195
sj,2009,37,34
sj,2009,38,40
sj,2009,39,48
sj,2009,40,40
sj,2009,41,56
sj,2009,42,43
sj,2009,43,25
sj,2009,44,50
sj,2009,45,26
sj,2009,46,26
sj,2009,47,32
sj,2009,48,44
sj,2009,49,43
sj,2009,50,26
sj,2009,51,50
sj,2009,52,24
sj,2010,53,33
sj,2010,1,35
sj,2010,2,29
sj,2010,3,43
sj,2010,4,34
sj,2010,5,21
sj,2010,6,18
sj,2010,7,18
sj,2010,8,17
sj,2010,9,25
sj,2010,10,13
sj,2010,11,10
sj,2010,12,9
sj,2010,13,9
sj,2010,14,8
sj,2010,15,8
sj,2010,16,9
sj,2010,17,10
sj,2010,18,9
sj,2010,19,8
sj,2010,20,12
sj,2010,21,12
sj,2010,22,31
sj,2010,23,33
sj,2010,24,18
sj,2010,25,21
sj,2010,26,33
sj,2010,27,36
sj,2010,28,39
sj,2010,29,40
sj,2010,30,35
sj,2010,31,31
sj,2010,32,67
sj,2010,33,56
sj,2010,34,77
sj,2010,35,64
sj,2010,36,98
sj,2010,37,43
sj,2010,38,37
sj,2010,39,33
sj,2010,40,40
sj,2010,41,60
sj,2010,42,42
sj,2010,43,30
sj,2010,44,38
sj,2010,45,36
sj,2010,46,32
sj,2010,47,29
sj,2010,48,28
sj,2010,49,44
sj,2010,50,24
sj,2010,51,25
sj,2011,52,27
sj,2011,1,18
sj,2011,2,29
sj,2011,3,23
sj,2011,4,22
sj,2011,5,18
sj,2011,6,17
sj,2011,7,12
sj,2011,8,14
sj,2011,9,12
sj,2011,10,9
sj,2011,11,9
sj,2011,12,11
sj,2011,13,9
sj,2011,14,12
sj,2011,15,11
sj,2011,16,10
sj,2011,17,7
sj,2011,18,8
sj,2011,19,8
sj,2011,20,11
sj,2011,21,12
sj,2011,22,12
sj,2011,23,13
sj,2011,24,31
sj,2011,25,32
sj,2011,26,25
sj,2011,27,25
sj,2011,28,23
sj,2011,29,16
sj,2011,30,57
sj,2011,31,16
sj,2011,32,88
sj,2011,33,33
sj,2011,34,115
sj,2011,35,41
sj,2011,36,39
sj,2011,37,44
sj,2011,38,32
sj,2011,39,39
sj,2011,40,43
sj,2011,41,36
sj,2011,42,28
sj,2011,43,25
sj,2011,44,39
sj,2011,45,42
sj,2011,46,26
sj,2011,47,31
sj,2011,48,31
sj,2011,49,26
sj,2011,50,37
sj,2011,51,34
sj,2012,52,36
sj,2012,1,26
sj,2012,2,22
sj,2012,3,23
sj,2012,4,21
sj,2012,5,15
sj,2012,6,15
sj,2012,7,12
sj,2012,8,16
sj,2012,9,12
sj,2012,10,10
sj,2012,11,9
sj,2012,12,8
sj,2012,13,10
sj,2012,14,8
sj,2012,15,9
sj,2012,16,11
sj,2012,17,8
sj,2012,18,8
sj,2012,19,12
sj,2012,20,9
sj,2012,21,11
sj,2012,22,8
sj,2012,23,11
sj,2012,24,11
sj,2012,25,23
sj,2012,26,23
sj,2012,27,11
sj,2012,28,14
sj,2012,29,14
sj,2012,30,29
sj,2012,31,17
sj,2012,32,25
sj,2012,33,54
sj,2012,34,33
sj,2012,35,35
sj,2012,36,38
sj,2012,37,44
sj,2012,38,48
sj,2012,39,38
sj,2012,40,42
sj,2012,41,38
sj,2012,42,51
sj,2012,43,40
sj,2012,44,31
sj,2012,45,35
sj,2012,46,45
sj,2012,47,32
sj,2012,48,26
sj,2012,49,32
sj,2012,50,26
sj,2012,51,25
sj,2013,1,27
sj,2013,2,25
sj,2013,3,19
sj,2013,4,20
sj,2013,5,22
sj,2013,6,15
sj,2013,7,18
sj,2013,8,13
sj,2013,9,12
sj,2013,10,11
sj,2013,11,10
sj,2013,12,8
sj,2013,13,8
sj,2013,14,8
sj,2013,15,8
sj,2013,16,10
sj,2013,17,7
iq,2010,26,6
iq,2010,27,2
iq,2010,28,6
iq,2010,29,2
iq,2010,30,2
iq,2010,31,3
iq,2010,32,3
iq,2010,33,2
iq,2010,34,2
iq,2010,35,4
iq,2010,36,2
iq,2010,37,3
iq,2010,38,4
iq,2010,39,4
iq,2010,40,5
iq,2010,41,4
iq,2010,42,7
iq,2010,43,6
iq,2010,44,7
